,ref_index,ref_mz,ref_z,ref_MS1,ref_minMS1,ref_maxMS1,ref_RT,ref_minRT,ref_maxRT,ref_intensity,ref_SNratio,ref_PercentageTF,comp_index,comp_mz,comp_z,comp_MS1,comp_minMS1,comp_maxMS1,comp_RT,comp_minRT,comp_maxRT,comp_intensity,comp_SNratio,comp_PercentageTF
493,265.0,424.15049869999996,0.0,5652.0,5589.0,5694.0,666.58,659.7760000000001,671.086,113635.0,20.1,0.9949,295.0,424.1501908428243,0.0,5820.0,5778.0,5841.0,657.3311577258496,680.4830000000001,687.3439999999999,37735.0,10.5,0.6032
494,1537.0,173.0442196,0.0,9999.0,5925.0,9999.0,1136.82,695.903,1136.82,113276.0,24.2,38.7851,1345.0,173.044162063652,0.0,9999.0,5799.0,9999.0,1134.9384661608158,682.799,1137.35,236512.0,46.0,39.9658
495,718.0,422.03336579999996,0.0,7143.0,7038.0,7458.0,827.37,816.0039999999999,861.2360000000001,113051.0,18.6,3.9788,603.0,422.0334421877196,0.0,7101.0,7038.0,7311.0,821.7605889931737,816.784,846.4680000000001,54335.0,12.7,2.6099
496,566.0,241.07073540000002,0.0,6786.0,6555.0,7458.0,788.77,763.887,861.2360000000001,112503.0,26.4,8.5633,559.0,241.07072095933904,0.0,6954.0,6870.0,7542.0,796.6300318030444,798.587,871.48,90570.0,26.7,6.409
497,1024.0,212.0527008,0.0,8508.0,8424.0,8613.0,975.27,966.143,986.696,112322.0,41.7,1.8079,851.0,212.05273297119734,0.0,8466.0,8424.0,8592.0,974.254307283106,966.988,985.165,110577.0,30.6,1.5982
498,266.0,260.05319,0.0,5652.0,5547.0,5694.0,666.58,655.29,671.086,111955.0,19.8,1.3895,291.0,260.05305245011226,0.0,5820.0,5736.0,5904.0,657.3311577258495,675.944,694.138,112242.0,31.3,1.5997
499,1320.0,255.0588508,0.0,9600.0,9516.0,9684.0,1093.95,1084.86,1103.03,111824.0,32.8,1.5983,1155.0,255.05889417658463,0.0,9579.0,9495.0,9663.0,1092.8800488813686,1083.25,1101.47,140801.0,40.6,1.6019999999999999
500,993.0,470.04453499999994,0.0,8235.0,8172.0,8361.0,945.56,938.612,959.211,111791.0,46.6,1.8119999999999998,817.0,470.044533190736,0.0,8235.0,8151.0,8361.0,947.1976915979058,937.295,960.154,189380.0,56.7,2.0098
501,1421.0,305.99839199999997,0.0,9831.0,9747.0,9915.0,1118.89,1109.87,1127.88,111189.0,28.1,1.5842,1251.0,305.99854208094774,0.0,9831.0,9726.0,9915.0,1121.0811647192027,1108.25,1128.48,126352.0,27.3,1.7787
502,507.0,311.9880858,0.0,6555.0,6429.0,6660.0,763.89,750.2439999999999,775.1519999999999,111022.0,30.9,2.191,514.0,311.987894334877,0.0,6723.0,6660.0,6765.0,768.9338976266716,775.84,787.24,40009.0,11.6,1.0023
503,11.0,244.0275114,0.0,5001.0,5001.0,5295.0,596.7,596.7040000000001,628.2080000000001,110805.0,19.6,2.7712,142.0,244.02743450500452,0.0,5295.0,5190.0,5463.0,605.8843435871097,617.237,646.594,45323.0,12.0,2.5812
504,1238.0,457.9539895,0.0,9285.0,9243.0,9516.0,1059.71,1055.1,1084.86,109862.0,41.8,2.6178,1075.0,457.95416603785986,0.0,9306.0,9222.0,9600.0,1063.5072075856951,1053.48,1094.61,91189.0,30.2,3.6163
505,56.0,126.9034563,0.0,5022.0,5001.0,7668.0,598.89,596.7040000000001,883.85,109341.0,17.0,25.2587,6.0,126.90354859140615,0.0,5001.0,5001.0,7164.0,601.7054686024205,596.8330000000001,830.505,1216789.0,326.3,20.5453
506,114.0,173.07057930000002,0.0,5169.0,5001.0,9852.0,614.63,596.7040000000001,1121.11,108970.0,27.4,46.1292,108.0,173.07059566666197,0.0,5211.0,5001.0,8550.0,604.1773327623325,596.8330000000001,980.612,41350.0,11.7,33.7433
507,89.0,438.12551950000005,0.0,5085.0,5001.0,5358.0,605.67,596.7040000000001,634.965,108965.0,20.5,3.3656,70.0,438.12548290879386,1.0,5085.0,5001.0,5274.0,602.4565833674341,596.8330000000001,626.307,201880.0,58.7,2.5915
508,1003.0,439.1922506,0.0,8277.0,8214.0,8340.0,950.14,943.232,956.939,108157.0,39.6,1.2057,829.0,439.1921556451198,0.0,8256.0,8193.0,8340.0,949.6501069978494,941.883,957.875,109432.0,36.5,1.4061
509,719.0,285.0847488,0.0,7143.0,7059.0,7731.0,827.37,818.275,890.6210000000001,107913.0,17.7,6.3639,597.0,285.0847859118836,0.0,7101.0,7017.0,7542.0,821.7605889931737,814.518,871.48,115218.0,27.0,5.0083
