	IROA_IS_NEG_1.mzXML_mz	IROA_IS_NEG_1.mzXML_intensity	IROA_IS_NEG_1.mzXML_z	IROA_IS_NEG_1.mzXML_RT	IROA_IS_NEG_1.mzXML_minRT	IROA_IS_NEG_1.mzXML_maxRT	IROA_IS_NEG_1.mzXML_MS1	IROA_IS_NEG_1.mzXML_minMS1	IROA_IS_NEG_1.mzXML_maxMS1	IROA_IS_NEG_1.mzXML_SNratio	IROA_IS_NEG_1.mzXML_PercentageTF	IROA_IS_NEG_1.mzXML_isotope	IROA_IS_NEG_2.mzXML_mz	IROA_IS_NEG_2.mzXML_intensity	IROA_IS_NEG_2.mzXML_z	IROA_IS_NEG_2.mzXML_RT	IROA_IS_NEG_2.mzXML_minRT	IROA_IS_NEG_2.mzXML_maxRT	IROA_IS_NEG_2.mzXML_MS1	IROA_IS_NEG_2.mzXML_minMS1	IROA_IS_NEG_2.mzXML_maxMS1	IROA_IS_NEG_2.mzXML_SNratio	IROA_IS_NEG_2.mzXML_PercentageTF	IROA_IS_NEG_2.mzXML_isotope	IROA_IS_NEG_3.mzXML_mz	IROA_IS_NEG_3.mzXML_intensity	IROA_IS_NEG_3.mzXML_z	IROA_IS_NEG_3.mzXML_RT	IROA_IS_NEG_3.mzXML_minRT	IROA_IS_NEG_3.mzXML_maxRT	IROA_IS_NEG_3.mzXML_MS1	IROA_IS_NEG_3.mzXML_minMS1	IROA_IS_NEG_3.mzXML_maxMS1	IROA_IS_NEG_3.mzXML_SNratio	IROA_IS_NEG_3.mzXML_PercentageTF	IROA_IS_NEG_3.mzXML_isotope
7	245.0923640063242	5902465.5	1.0	657.3562602106094	11.19055	12.476066666666666	5820.0	5694.0	6408.0	1648.4072379171525	14.269856452248492	0.0	245.0923153455014	16488314.0	1.0	666.8050231530357	11.060433333333332	13.281283333333333	5757.0	5631.0	6870.0	3211.5899927708933	24.69801916885535	0.0	245.09240965987618	18503876.0	1.0	668.848	10.6958	13.751149999999999	5673.0	5421.0	7122.0	3323.6113608301466	33.94104229461818	0.0
8	172.03907249568115	17013094.0	1.0	639.8794513367835	10.09915	18.919500000000003	5631.0	5085.0	9978.0	4154.967090228776	97.91014898698843	0.0	172.03906066184732	28939930.0	1.0	646.5821892604906	10.497433333333333	18.852500000000003	5547.0	5316.0	9957.0	6244.25604546765	92.91649444599939	0.0	172.03910032003057	16147057.0	1.0	648.509	10.432549999999999	18.947	5484.0	5274.0	9999.0	4473.209005943416	94.58468180909286	0.0
9	174.05475273622562	4553930.5	1.0	685.5356045550699	11.265733333333333	15.926366666666667	6114.0	5736.0	8319.0	1369.1700896929426	51.735283071577776	0.0	174.05472706359717	16731086.0	1.0	683.1716242208603	10.79825	18.81566666666667	5946.0	5484.0	9936.0	3478.0149460614944	89.16149695748643	0.0	174.05472291662898	16044763.0	1.0	677.839	10.9215	18.872666666666664	5757.0	5547.0	9957.0	3001.7083803211312	88.32732227891783	0.0
10	167.03359031916253	8302310.0	1.0	736.718750902626	9.947216666666666	18.95583333333333	6471.0	5001.0	9999.0	2310.8627182721843	100.0	0.0	167.03357273522812	20289850.0	1.0	739.1394663347063	9.934816666666668	18.92683333333333	6429.0	5001.0	9999.0	3907.124562852047	100.0	0.0	167.03360653660155	15960724.0	1.0	741.258	9.945066666666666	18.947	6345.0	5001.0	9999.0	3624.0372242649987	100.0	0.0
11	173.08060045239313	12605375.0	1.0	1131.9345971767007	9.947216666666666	18.95583333333333	9957.0	5001.0	9999.0	2720.5666610707895	100.0	0.0	173.08058946642052	15611500.0	1.0	1130.405827637402	9.934816666666668	18.92683333333333	9957.0	5001.0	9999.0	3559.275444052907	100.0	0.0	173.08058856894846	15659142.0	1.0	1132.36	9.945066666666666	18.947	9957.0	5001.0	9999.0	3721.2768333772533	100.0	0.0
12	159.0284435782155	15661749.0	1.0	1135.0611426684113	17.064	18.95583333333333	9999.0	8949.0	9999.0	3049.3546450822605	21.000264561521632	0.0	159.02847069660197	12997032.0	1.0	1135.7895554732331	18.136333333333333	18.92683333333333	9999.0	9558.0	9999.0	2931.1919208192626	8.791131392475899	0.0	159.0284427989467	15309561.0	1.0	1136.82	18.043166666666664	18.947	9999.0	9495.0	9999.0	3266.57670861358	10.040435758244541	0.0
13	208.9334825779695	18834714.0	0.0	1000.3523027346623	9.947216666666666	18.95583333333333	8718.0	5001.0	9999.0	5234.846024988595	100.0	0.0	208.9334990873746	15242925.0	0.0	999.8486887032495	9.934816666666668	18.92683333333333	8739.0	5001.0	9999.0	4729.37002763217	100.0	0.0	208.93349757490728	14776811.0	0.0	1000.32	9.945066666666666	18.947	8739.0	5001.0	9999.0	4096.268892985516	100.0	0.0
14	213.12334688989895	3339312.25	1.0	802.9921653855392	13.34765	15.089266666666667	6996.0	6891.0	7857.0	1066.169668545791	19.332786942871373	0.0	213.1233315927053	6593594.5	1.0	802.3350219478605	13.281283333333333	14.5314	6996.0	6870.0	7563.0	1842.6137276152126	13.902517232878802	0.0	213.1233571258629	13926390.0	1.0	795.54	12.8068	14.881883333333333	6849.0	6597.0	7752.0	3200.2525440937684	23.0515296714039	0.0
15	129.0178537268686	14429256.0	1.0	990.0276074762845	9.947216666666666	18.95583333333333	8613.0	5001.0	9999.0	4907.075667403503	100.0	0.0	129.01786443386766	12402800.0	1.0	992.7304353631329	9.934816666666668	18.92683333333333	8676.0	5001.0	9999.0	3861.472842302794	100.0	0.0	129.01783897384055	13875854.0	1.0	991.29	9.945066666666666	18.947	8655.0	5001.0	9999.0	5028.713381885408	100.0	0.0
16	141.02900104030067	6660998.5	1.0	644.4072117934552	10.023816666666667	17.977666666666668	5673.0	5043.0	9453.0	1716.5179209682453	88.2915800983133	0.0	141.02897235535386	12599133.0	1.0	651.7241169842606	10.010866666666667	18.92683333333333	5589.0	5043.0	9999.0	3090.4429816698175	99.1542497882381	0.0	141.02898662696583	13294598.0	1.0	653.015	10.132366666666666	18.947	5526.0	5106.0	9999.0	3591.009635873198	97.91933584637374	0.0
